,Instruction,text,finetunetext
0,"What can be  the punishment for Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship","For the offence of Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship according the law and acts of Nepal? [/INST]  For the offence of Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
1,What can be  the punishment for Rape: Non-consensual sexual intercourse with a person,"For the offence of Rape: Non-consensual sexual intercourse with a person, the punishment is 10 to 20 years imprisonment depending on the circumstances and the age of the victim according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219.","<s>[INST] What can be  the punishment for Rape: Non-consensual sexual intercourse with a person according the law and acts of Nepal? [/INST]  For the offence of Rape: Non-consensual sexual intercourse with a person ,the punishment is 10 to 20 years imprisonment depending on the circumstances and the age of the victim according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219.</s>"
2,"What can be  the punishment for Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature","For the offence of Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.","<s>[INST] What can be  the punishment for Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature according the law and acts of Nepal? [/INST]  For the offence of Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.</s>"
3,What can be  the punishment for Child Marriage: The marriage of a child below the legal age of 20 years,"For the offence of Child Marriage: The marriage of a child below the legal age of 20 years, the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.","<s>[INST] What can be  the punishment for Child Marriage: The marriage of a child below the legal age of 20 years according the law and acts of Nepal? [/INST]  For the offence of Child Marriage: The marriage of a child below the legal age of 20 years ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.</s>"
4,"What can be  the punishment for Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation","For the offence of Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation, the punishment is Up to 20 years imprisonment and a fine of up to NPR 200,000 according to the section of Human Trafficking and Transportation (Control) Act, 2007, Section 3.","<s>[INST] What can be  the punishment for Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation according the law and acts of Nepal? [/INST]  For the offence of Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation ,the punishment is Up to 20 years imprisonment and a fine of up to NPR 200,000 according to the section of Human Trafficking and Transportation (Control) Act, 2007, Section 3.</s>"
5,What can be  the punishment for Acid Attack: Causing harm to another person using acid or other corrosive substances,"For the offence of Acid Attack: Causing harm to another person using acid or other corrosive substances, the punishment is Up to 20 years imprisonment and a fine of up to NPR 1,000,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.","<s>[INST] What can be  the punishment for Acid Attack: Causing harm to another person using acid or other corrosive substances according the law and acts of Nepal? [/INST]  For the offence of Acid Attack: Causing harm to another person using acid or other corrosive substances ,the punishment is Up to 20 years imprisonment and a fine of up to NPR 1,000,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.</s>"
6,What can be  the punishment for Dowry-Related Violence: Violence inflicted on a woman over dowry demands,"For the offence of Dowry-Related Violence: Violence inflicted on a woman over dowry demands, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 175.","<s>[INST] What can be  the punishment for Dowry-Related Violence: Violence inflicted on a woman over dowry demands according the law and acts of Nepal? [/INST]  For the offence of Dowry-Related Violence: Violence inflicted on a woman over dowry demands ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 175.</s>"
7,What can be  the punishment for Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft,"For the offence of Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Witchcraft-related Accusation (Crime and Punishment) Act, 2015, Section 3.","<s>[INST] What can be  the punishment for Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft according the law and acts of Nepal? [/INST]  For the offence of Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Witchcraft-related Accusation (Crime and Punishment) Act, 2015, Section 3.</s>"
8,What can be  the punishment for Forced Prostitution: Coercing someone into prostitution,"For the offence of Forced Prostitution: Coercing someone into prostitution, the punishment is Up to 15 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Prostitution, Section 225.","<s>[INST] What can be  the punishment for Forced Prostitution: Coercing someone into prostitution according the law and acts of Nepal? [/INST]  For the offence of Forced Prostitution: Coercing someone into prostitution ,the punishment is Up to 15 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Prostitution, Section 225.</s>"
9,What can be  the punishment for Forced Labor: Compelling a person to work against their will,"For the offence of Forced Labor: Compelling a person to work against their will, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.","<s>[INST] What can be  the punishment for Forced Labor: Compelling a person to work against their will according the law and acts of Nepal? [/INST]  For the offence of Forced Labor: Compelling a person to work against their will ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.</s>"
