index,instruction,text,finetunetext
0,Summarize the legal provisions and past precedents considered in a case involving rape of a minor.,"In this case, the court referenced legal provisions including Sections 1, 3(2), 3(a), and 10 of the 'Rape (Hahakar) Act' along with the 'Protection of Children Act 2075'. They also considered past precedents such as 'NKP 2071', 'NCH 1103', and 'NKP 2075'.","Summarize the legal provisions and past precedents considered in a case involving rape of a minor. -> In this case, the court referenced legal provisions including Sections 1, 3(2), 3(a), and 10 of the 'Rape (Hahakar) Act' along with the 'Protection of Children Act 2075'. They also considered past precedents such as 'NKP 2071', 'NCH 1103', and 'NKP 2075'."
1,Identify the key evidence and testimonies that led to the conviction in a rape case.,"The conviction relied heavily on the victim's testimony, which was consistent and detailed, and corroborated by medical evidence. The court also considered the defendant's statements and the circumstantial evidence presented.","Identify the key evidence and testimonies that led to the conviction in a rape case. -> The conviction relied heavily on the victim's testimony, which was consistent and detailed, and corroborated by medical evidence. The court also considered the defendant's statements and the circumstantial evidence presented."
2,Explain how the court assessed the credibility and reliability of evidence in a rape case.,"The court assessed the credibility and reliability of evidence by examining its consistency, coherence, and corroboration with other evidence. They also considered the victim's age, understanding, and the circumstances under which the testimonies were given.","Explain how the court assessed the credibility and reliability of evidence in a rape case. -> The court assessed the credibility and reliability of evidence by examining its consistency, coherence, and corroboration with other evidence. They also considered the victim's age, understanding, and the circumstances under which the testimonies were given."
3,List the factors considered by the court when determining the appropriate sentence for the defendant in a rape case.,"The court considered the severity of the crime, the victim's age and vulnerability, the impact on the victim, and the defendant's prior criminal record. They also assessed the need for deterrence and the possibility of rehabilitation.","List the factors considered by the court when determining the appropriate sentence for the defendant in a rape case. -> The court considered the severity of the crime, the victim's age and vulnerability, the impact on the victim, and the defendant's prior criminal record. They also assessed the need for deterrence and the possibility of rehabilitation."
4,Describe how the court addressed the psychological and social impact of rape on the victim during the trial and sentencing.,"The court acknowledged the psychological and social impact of the rape on the victim by considering victim impact statements, medical reports, and testimonies about the victim's condition. They also ensured that the victim was provided with necessary support and protection throughout the trial.","Describe how the court addressed the psychological and social impact of rape on the victim during the trial and sentencing. -> The court acknowledged the psychological and social impact of the rape on the victim by considering victim impact statements, medical reports, and testimonies about the victim's condition. They also ensured that the victim was provided with necessary support and protection throughout the trial."
5,Identify the legal standards and definitions applied by the court to determine that an act constituted rape.,"The court applied the legal standards and definitions outlined in the 'Rape (Hahakar) Act' and the 'National Penal Code 2074', focusing on the elements of non-consensual sexual intercourse, use of force or coercion, and the victim's age and capacity to consent.","Identify the legal standards and definitions applied by the court to determine that an act constituted rape. -> The court applied the legal standards and definitions outlined in the 'Rape (Hahakar) Act' and the 'National Penal Code 2074', focusing on the elements of non-consensual sexual intercourse, use of force or coercion, and the victim's age and capacity to consent."
6,"Explain how the court handled the issue of victim consent, particularly when the victim was a minor.","The court emphasized that minors cannot legally give consent to sexual acts. They focused on the absence of lawful consent and considered any sexual act with a minor as rape, regardless of perceived consent.","Explain how the court handled the issue of victim consent, particularly when the victim was a minor. -> The court emphasized that minors cannot legally give consent to sexual acts. They focused on the absence of lawful consent and considered any sexual act with a minor as rape, regardless of perceived consent."
7,"Describe the penalties for intentional assault using weapons under Nepali criminal law, referencing specific legal provisions and case examples.","Under Section 15 of the National Penal Code 2017, intentional assault with weapons carries imprisonment up to 10 years. Case No. 61-065-00001, Ni.Na. 41 demonstrates enhanced penalties when injuries are medically confirmed.","Describe the penalties for intentional assault using weapons under Nepali criminal law, referencing specific legal provisions and case examples. -> Under Section 15 of the National Penal Code 2017, intentional assault with weapons carries imprisonment up to 10 years. Case No. 61-065-00001, Ni.Na. 41 demonstrates enhanced penalties when injuries are medically confirmed."
8,"Explain how Nepali law manages judicial custody during criminal proceedings, including the duration and requirements for extensions.","As per Criminal Procedure Code Clause 26, courts may order judicial custody for up to 25 days during investigations. Case No. 61-065-00001, Ni.Na. 41 shows custody extensions require documented evidence preservation needs.","Explain how Nepali law manages judicial custody during criminal proceedings, including the duration and requirements for extensions. -> As per Criminal Procedure Code Clause 26, courts may order judicial custody for up to 25 days during investigations. Case No. 61-065-00001, Ni.Na. 41 shows custody extensions require documented evidence preservation needs."
9,"Outline the compensation standards that apply to crime victims in Nepal, including the legal provisions and how fines are distributed.","Section 15A of NPC 2017 mandates compensation through fines up to NPR 25,000. Case No. 61-065-00001, Ni.Na. 41 establishes that 60% of fines must directly benefit victims, as seen in judgment records.","Outline the compensation standards that apply to crime victims in Nepal, including the legal provisions and how fines are distributed. -> Section 15A of NPC 2017 mandates compensation through fines up to NPR 25,000. Case No. 61-065-00001, Ni.Na. 41 establishes that 60% of fines must directly benefit victims, as seen in judgment records."
10,Summarize the key aspects of the Supreme Court of Nepal's judgments on gender justice and equality from the 2020 compendium.,The 2020 compendium highlights landmark judicial precedents that have amended existing laws to create a more equal society. The Supreme Court has nullified discriminatory laws against women and issued orders for new legislation and structural developments. It has also mandated the state to enforce positive laws effectively and has introduced concepts like Battered Women Syndrome (BWS) and Rape Trauma into Nepali legal practice.,Summarize the key aspects of the Supreme Court of Nepal's judgments on gender justice and equality from the 2020 compendium. -> The 2020 compendium highlights landmark judicial precedents that have amended existing laws to create a more equal society. The Supreme Court has nullified discriminatory laws against women and issued orders for new legislation and structural developments. It has also mandated the state.
11,"Explain the immediate steps to take if someone attempts to rape you, according to Nepali judicial practices.","Based on the 'District Court Decisions Collection, 2071', if someone attempts to rape you, report the incident to the police immediately, seek medical attention for examination and documentation of injuries, preserve any evidence, and seek support from legal aid services. Provide a detailed account of the incident to the authorities.","Explain the immediate steps to take if someone attempts to rape you, according to Nepali judicial practices. -> Based on the 'District Court Decisions Collection, 2071', if someone attempts to rape you, report the incident to the police immediately, seek medical attention for examination and documentation of injuries, preserve any evidence, and seek support from legal aid services. Provide a detailed account of the incident to the authorities."
12,Describe the types of evidence that are considered important in a rape attempt case in Nepali courts.,"Crucial evidence in a rape attempt case includes medical examination reports detailing injuries, witness testimonies, any communication indicating the perpetrator's intentions (text messages, emails), and physical evidence from the scene. Prompt reporting and evidence preservation are vital.","Describe the types of evidence that are considered important in a rape attempt case in Nepali courts. -> Crucial evidence in a rape attempt case includes medical examination reports detailing injuries, witness testimonies, any communication indicating the perpetrator's intentions (text messages, emails), and physical evidence from the scene. Prompt reporting and evidence preservation are vital."
13,Outline the support services available for victims of rape attempts within the Nepali judicial system.,"The Nepali judicial system aims to provide support for victims of rape attempts through legal aid, counseling, and medical assistance. Victims are encouraged to seek help from relevant authorities and organizations specializing in victim support.","Outline the support services available for victims of rape attempts within the Nepali judicial system. -> The Nepali judicial system aims to provide support for victims of rape attempts through legal aid, counseling, and medical assistance. Victims are encouraged to seek help from relevant authorities and organizations specializing in victim support."
14,"State the typical range of imprisonment for rape cases, based on the 'District Court Decisions Collection, 2071'.","According to the 'District Court Decisions Collection, 2071', the typical range of imprisonment for rape cases is around 10 to 12 years, though sentences can vary based on case details.","State the typical range of imprisonment for rape cases, based on the 'District Court Decisions Collection, 2071'. -> According to the 'District Court Decisions Collection, 2071', the typical range of imprisonment for rape cases is around 10 to 12 years, though sentences can vary based on case details."
15,"Specify the potential imprisonment period for someone convicted of multiple marriages, as per the 'District Court Decisions Collection, 2071'.","The 'District Court Decisions Collection, 2071' indicates that the imprisonment period for multiple marriages can be around 1 year.","Specify the potential imprisonment period for someone convicted of multiple marriages, as per the 'District Court Decisions Collection, 2071'. -> The 'District Court Decisions Collection, 2071' indicates that the imprisonment period for multiple marriages can be around 1 year."
16,"Describe the legal outcome if someone is convicted of rape and the legal provisions discriminate based on the victim's profession, referencing Supreme Court judgments.","Any legal provision that discriminates among rape victims based on their profession is unconstitutional. Therefore, the discriminatory provision would be eliminated to ensure equal treatment under the law, as seen in cases similar to 'Advocate Sapana Pradhan Malla v. His Majesty's Government' (2058 B.S.).","Describe the legal outcome if someone is convicted of rape and the legal provisions discriminate based on the victim's profession, referencing Supreme Court judgments. -> Any legal provision that discriminates among rape victims based on their profession is unconstitutional. Therefore, the discriminatory provision would be eliminated to ensure equal treatment under the law, as seen in cases similar to 'Advocate Sapana Pradhan Malla v. His Majesty's Government' (2058 B.S.)."
17,"Explain how the Supreme Court defines rape in cases where a woman is accused of raping another woman or if artificial objects are used, based on past judgments.","The definition of rape includes cases where a woman can rape another woman and rape using artificial objects. This broadens the legal understanding of rape under the Muluki Criminal Code, as seen in cases similar to 'Lakpa Sherpa v. Government of Nepal' (NLR 2073).","Explain how the Supreme Court defines rape in cases where a woman is accused of raping another woman or if artificial objects are used, based on past judgments. -> The definition of rape includes cases where a woman can rape another woman and rape using artificial objects. This broadens the legal understanding of rape under the Muluki Criminal Code, as seen in cases similar to 'Lakpa Sherpa v. Government of Nepal' (NLR 2073)."
18,"Describe how the Supreme Court determines where a crime occurred in rape cases where the traditional crime scene is unclear, according to past judgments.","In rape cases, the victim's body itself is considered the primary crime scene, even if the traditional crime scene cannot be ascertained. This ensures offenders are not immune from prosecution, as seen in cases similar to 'Government of Nepal v. Sagar Bhatta' (071-CR-0659).","Describe how the Supreme Court determines where a crime occurred in rape cases where the traditional crime scene is unclear, according to past judgments. -> In rape cases, the victim's body itself is considered the primary crime scene, even if the traditional crime scene cannot be ascertained. This ensures offenders are not immune from prosecution, as seen in cases similar to 'Government of Nepal v. Sagar Bhatta' (071-CR-0659)."
19,"Explain the Supreme Court's view on consent in sexual relationships within the military, particularly when a superior officer is involved with a subordinate officer.","Consent obtained by a superior officer using their position of influence over a subordinate officer is considered consent obtained through undue influence and thus not valid. This applies to sexual relationships within the military, as seen in cases similar to 'Bhupendra Khadka v. Nepal Army' (NLR 2076).","Explain the Supreme Court's view on consent in sexual relationships within the military, particularly when a superior officer is involved with a subordinate officer. -> Consent obtained by a superior officer using their position of influence over a subordinate officer is considered consent obtained through undue influence and thus not valid. This applies to sexual relationships within the military, as seen in cases similar to 'Bhupendra Khadka v. Nepal Army' (NLR 2076)."
20,Describe how the Supreme Court considers Battered Women Syndrome (BWS) in judgments when a rape victim commits a crime.,"The Supreme Court recognizes Battered Women Syndrome (BWS) as a relevant factor in cases where a victim commits a crime, considering the psychological impact of BWS, which may influence culpability and sentencing.","Describe how the Supreme Court considers Battered Women Syndrome (BWS) in judgments when a rape victim commits a crime. -> The Supreme Court recognizes Battered Women Syndrome (BWS) as a relevant factor in cases where a victim commits a crime, considering the psychological impact of BWS, which may influence culpability and sentencing."
21,"Outline the legal action and punishment expected if someone is convicted of throwing acid on another person, based on Supreme Court directives.","Throwing acid is considered a cruel and inhumane offense. The court has directed that provisions for this offense be incorporated into the Domestic Violence (Offence and Punishment) Act, 2066, with punishments varying according to the severity of the offense, as seen in cases similar to 'Advocate Jyoti Paudel et al. v. Government of Nepal' (NLR 2066).","Outline the legal action and punishment expected if someone is convicted of throwing acid on another person, based on Supreme Court directives. -> Throwing acid is considered a cruel and inhumane offense. The court has directed that provisions for this offense be incorporated into the Domestic Violence (Offence and Punishment) Act, 2066, with punishments varying according to the severity of the offense, as seen in cases similar to 'Advocate Jyoti Paudel et al. v. Government of Nepal' (NLR 2066)."
22,"Detail the procedural advice given to a victim of attempted rape, drawing from established Nepali legal precedents.","Referencing the 'District Court Decisions Collection, 2071', a victim of attempted rape should immediately file a police report, undergo a medical examination to document any injuries, preserve all potential evidence, and seek assistance from legal aid organizations. They must provide a thorough account of the incident to the authorities for effective legal action.","Detail the procedural advice given to a victim of attempted rape, drawing from established Nepali legal precedents. -> Referencing the 'District Court Decisions Collection, 2071', a victim of attempted rape should immediately file a police report, undergo a medical examination to document any injuries, preserve all potential evidence, and seek assistance from legal aid organizations. They must provide a thorough account of the incident to the authorities for effective legal action."
23,List the evidentiary standards applied in Nepali courts for prosecuting rape attempt cases.,"Key evidence in rape attempt cases includes medical reports detailing physical harm, credible witness statements, any digital or written communications indicating intent, and forensic evidence from the scene. Timely reporting and meticulous preservation of evidence are crucial for a successful prosecution.","List the evidentiary standards applied in Nepali courts for prosecuting rape attempt cases. -> Key evidence in rape attempt cases includes medical reports detailing physical harm, credible witness statements, any digital or written communications indicating intent, and forensic evidence from the scene. Timely reporting and meticulous preservation of evidence are crucial for a successful prosecution."
24,Describe the victim support framework within the Nepali judicial system for those affected by attempted rape.,"The Nepali judicial system offers a support network for attempted rape victims, encompassing legal assistance, psychological counseling, and medical services. Victims are strongly advised to engage with relevant authorities and specialized victim support agencies for comprehensive care.","Describe the victim support framework within the Nepali judicial system for those affected by attempted rape. -> The Nepali judicial system offers a support network for attempted rape victims, encompassing legal assistance, psychological counseling, and medical services. Victims are strongly advised to engage with relevant authorities and specialized victim support agencies for comprehensive care."
25,"Specify the sentencing guidelines for rape convictions according to the 'District Court Decisions Collection, 2071'.","As outlined in the 'District Court Decisions Collection, 2071', rape convictions typically result in sentences ranging from 10 to 12 years of imprisonment, though individual sentences may vary based on the specific circumstances of each case.","Specify the sentencing guidelines for rape convictions according to the 'District Court Decisions Collection, 2071'. -> As outlined in the 'District Court Decisions Collection, 2071', rape convictions typically result in sentences ranging from 10 to 12 years of imprisonment, though individual sentences may vary based on the specific circumstances of each case."
26,"State the standard imprisonment term for polygamy convictions, as detailed in the 'District Court Decisions Collection, 2071'.","The 'District Court Decisions Collection, 2071' specifies that individuals found guilty of polygamy are generally sentenced to approximately 1 year of imprisonment.","State the standard imprisonment term for polygamy convictions, as detailed in the 'District Court Decisions Collection, 2071'. -> The 'District Court Decisions Collection, 2071' specifies that individuals found guilty of polygamy are generally sentenced to approximately 1 year of imprisonment."
